,Date,Favorite,UnderDog,PointSpread,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine,Season,home_team,away_team,home_fav,date_match,home_abbr,away_abbr
77,"December 11, 2016 1:00 PM",at Titans,Broncos,-2.0,44.0,110,-130,2016,Titans,Broncos,True,2016-12-11,TEN,DEN
78,"December 11, 2016 1:00 PM",at Colts,Texans,-6.5,47.5,220,-280,2016,Colts,Texans,True,2016-12-11,IND,HOU
79,"December 11, 2016 1:00 PM",at Panthers,Chargers,-1.0,48.5,100,-120,2016,Panthers,Chargers,True,2016-12-11,CAR,LAC
80,"December 11, 2016 1:00 PM",Cardinals,at Dolphins,-2.0,44.0,-128,108,2016,Dolphins,Cardinals,False,2016-12-11,MIA,ARI
81,"December 11, 2016 1:00 PM",at Lions,Bears,-7.5,42.0,280,-350,2016,Lions,Bears,True,2016-12-11,DET,CHI
82,"December 11, 2016 1:00 PM",Bengals,at Browns,-4.5,41.5,-205,175,2016,Browns,Bengals,False,2016-12-11,CLE,CIN
83,"December 11, 2016 1:00 PM",Steelers,at Bills,-2.0,46.0,-125,105,2016,Bills,Steelers,False,2016-12-11,BUF,PIT
84,"December 11, 2016 1:00 PM",Commanders,at Eagles,-2.5,48.5,-133,110,2016,Eagles,Commanders,False,2016-12-11,PHI,WAS
85,"December 11, 2016 4:05 PM",at 49ers,Jets,-2.5,43.0,135,-145,2016,49ers,Jets,True,2016-12-11,SF,NYJ
86,"December 11, 2016 4:25 PM",Seahawks,at Packers,-3.0,46.0,-155,135,2016,Packers,Seahawks,False,2016-12-11,GB,SEA
87,"December 11, 2016 4:25 PM",Falcons,at Rams,-5.0,44.0,-220,190,2016,Rams,Falcons,False,2016-12-11,LAR,ATL
88,"December 11, 2016 4:25 PM",at Buccaneers,Saints,-2.5,51.5,115,-135,2016,Buccaneers,Saints,True,2016-12-11,TB,NO
89,"December 11, 2016 8:30 PM",Cowboys,at Giants,-3.5,47.0,-185,165,2016,Giants,Cowboys,False,2016-12-11,NYG,DAL
90,"December 12, 2016 8:30 PM",at Patriots,Ravens,-6.5,45.0,235,-275,2016,Patriots,Ravens,True,2016-12-12,NE,BAL
